Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,167.55,245.29,13.29,15.86,19.24,15.57,17.65,1.01,17.95,3.64,,,,,,,,,,,,,,
2024-01-02,171.36,243.84,13.88,18.87,21.32,23.65,22.77,1.17,39.83,3.55,,,,,,,,,,,,,,
2024-01-03,190.08,246.87,14.08,20.31,22.25,25.45,17.37,1.59,18.77,4.35,,,,,,,,,,,,,,
2024-01-04,208.13,281.76,13.83,19.48,21.61,25.87,14.7,1.35,15.9,5.26,,,,,,,,,,,,,,
2024-01-05,112.62,193.48,13.67,17.92,20.64,26.46,14.94,1.12,15.9,3.78,,,,,,,,,,,,,,
2024-01-06,114.73,178.58,13.33,17.96,20.4,25.86,15.02,0.94,14.82,3.32,,,,,,,,,,,,,,
2024-01-07,119.95,192.43,13.41,18.45,20.73,26.23,12.85,0.5,31.53,3.6,,,,,,,,,,,,,,
2024-01-08,175.16,285.76,15.77,26.68,27.0,32.67,13.76,1.43,14.46,4.92,,,,,,,,,,,,,,
2024-01-09,110.67,156.41,12.66,15.56,18.57,23.02,12.91,1.13,14.71,3.4,,,,,,,,,,,,,,
2024-01-10,108.25,163.72,12.73,16.17,18.95,23.82,13.1,1.26,35.46,3.33,,,,,,,,,,,,,,
2024-01-11,159.13,224.01,13.0,18.62,20.47,27.39,7.91,1.68,50.91,5.17,,,,,,,,,,,,,,
2024-01-12,148.46,214.13,14.65,24.64,25.01,32.77,13.49,1.87,25.93,5.3,,,,,,,,,,,,,,
2024-01-13,310.19,433.02,20.0,43.27,39.28,49.56,12.6,3.43,19.7,8.27,,,,,,,,,,,,,,
2024-01-14,303.69,394.02,17.96,36.78,34.17,42.6,15.47,2.92,23.92,8.44,,,,,,,,,,,,,,
2024-01-15,250.29,315.01,15.75,29.61,28.55,36.0,15.78,2.18,23.93,5.59,,,,,,,,,,,,,,
2024-01-16,272.77,343.22,19.41,39.03,36.54,44.37,13.3,2.26,19.01,6.13,,,,,,,,,,,,,,
2024-01-17,203.11,263.92,14.18,22.61,23.56,29.3,13.79,1.31,25.35,3.52,,,,,,,,,,,,,,
2024-01-18,197.12,258.34,14.92,25.81,25.85,31.88,11.87,1.09,29.95,3.43,,,,,,,,,,,,,,
2024-01-19,224.86,288.74,17.26,35.2,32.76,30.3,37.09,0.85,28.86,4.07,,,,,,,,,,,,,,
2024-01-20,198.56,249.62,22.41,52.26,46.02,29.64,24.39,1.78,31.33,3.57,,,,,,,,,,,,,,
2024-01-21,155.02,213.72,22.41,49.87,44.74,27.73,15.21,1.68,30.01,5.36,,,,,,,,,,,,,,
2024-01-22,89.26,133.62,22.0,48.41,43.62,26.6,16.25,1.57,34.6,3.13,,,,,,,,,,,,,,
2024-01-23,221.71,295.16,18.47,32.11,32.09,26.51,15.77,1.73,35.69,4.58,,,,,,,,,,,,,,
2024-01-24,178.14,245.93,21.61,41.8,39.8,27.35,13.55,1.89,32.51,6.13,,,,,,,,,,,,,,
2024-01-25,168.36,221.09,26.21,69.46,58.25,31.25,14.43,2.22,34.76,5.62,,,,,,,,,,,,,,
2024-01-26,268.99,333.99,40.16,135.02,104.47,44.3,18.35,3.44,37.03,8.63,,,,,,,,,,,,,,
2024-01-27,149.2,190.71,34.54,102.21,82.45,34.21,14.69,2.15,42.84,7.18,,,,,,,,,,,,,,
2024-01-28,233.8,276.17,47.7,169.87,129.14,46.01,16.18,2.39,28.7,8.85,,,,,,,,,,,,,,
2024-01-29,186.45,228.91,24.92,52.83,48.36,29.9,17.4,0.58,30.48,5.24,,,,,,,,,,,,,,
2024-01-30,214.25,260.27,29.54,67.84,60.11,33.96,16.03,1.86,26.86,7.3,,,,,,,,,,,,,,
2024-01-31,215.23,280.19,32.29,78.67,68.1,30.85,20.76,2.29,25.21,7.43,,,,,,,,,,,,,,
2024-02-01,109.37,139.53,24.78,38.39,40.52,19.8,11.25,1.14,23.35,1.97,,,,,,,,,,,,,,
2024-02-02,76.91,99.19,23.29,36.15,38.13,19.47,13.15,1.3,24.5,4.44,,,,,,,,,,,,,,
2024-02-03,76.61,110.72,23.46,40.21,40.43,19.96,17.64,1.55,28.0,4.12,,,,,,,,,,,,,,
2024-02-04,109.94,138.05,30.51,64.23,58.96,23.1,16.83,1.61,22.69,6.61,,,,,,,,,,,,,,
2024-02-05,61.89,82.75,21.47,16.0,25.92,11.97,19.8,0.87,24.41,2.54,,,,,,,,,,,,,,
2024-02-06,52.27,74.11,21.61,23.99,30.17,11.54,15.88,1.04,35.98,2.97,,,,,,,,,,,,,,
2024-02-07,63.07,88.98,19.61,15.57,23.16,9.1,12.42,0.82,57.36,2.92,,,,,,,,,,,,,,
2024-02-08,54.32,75.43,18.48,10.73,19.22,8.07,19.81,0.77,65.19,1.89,,,,,,,,,,,,,,
2024-02-09,73.03,100.51,25.64,43.15,43.64,12.76,18.86,1.8,66.34,4.05,,,,,,,,,,,,,,
2024-02-10,170.59,206.92,38.04,105.18,86.2,21.02,16.61,2.25,53.43,7.93,,,,,,,,,,,,,,
2024-02-11,128.41,153.13,27.35,45.18,45.58,13.02,19.55,1.76,57.05,5.14,,,,,,,,,,,,,,
