Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),TOT-RF (mm),SR (W/mt2),BP (mmHg),NO2_NO_ratio,VOC_NOx_ratio,hour_sin,hour_cos,month_sin,month_cos,Wind_U,Wind_V,Ozone_Baseline,Ozone_Anomaly
2020-01-01 00:00:00,857.5,660.0,146.4,44.9,143.2,89.4,12.08,5.4,67.12,13.78,,7.5,93.3,0.3,57.75,0.0,8.88,986.9,0.3046132971506106,0.0955617198335645,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.25371834651119196,-0.1600843547746834,67.12,0.0
2020-01-01 01:00:00,472.75,623.5,102.08,41.5,105.3,84.22,5.62,2.9,65.32,10.0,,7.28,94.88,0.3,65.75,0.0,8.93,986.9,0.4025999223903764,0.09407337723424271,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.27352861307312654,-0.12321565578404314,67.12,-1.8000000000000114
2020-01-01 02:00:00,384.75,485.75,47.78,40.15,60.32,75.38,0.8,2.18,64.68,6.82,,7.07,93.88,0.3,68.25,0.0,8.85,986.9,0.8230832308323083,0.1112198303979126,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.27864286586157727,-0.11116723125295086,66.22,-1.539999999999992
2020-01-01 03:00:00,334.5,407.0,124.2,26.95,115.6,55.22,1.75,2.5,63.72,4.8,,6.85,95.57,0.3,116.0,0.0,8.85,986.9,0.21525559105431308,0.0411663807890223,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,-0.26963821388975007,0.13151134403672324,65.70666666666666,-1.9866666666666646
2020-01-01 04:00:00,362.75,464.0,220.85,17.3,216.25,47.97,5.62,3.42,38.42,5.4,,6.82,97.05,0.3,176.5,0.0,8.85,986.9,0.07798061753437008,0.024856156501726123,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.018314561860457157,0.2994404395265601,65.21000000000001,-26.790000000000006
2020-01-01 05:00:00,403.25,565.0,216.8125,12.1,262.95,47.05,7.65,4.12,55.58,6.75,,6.8,97.35,0.3,201.25,0.0,9.0,986.9,0.055552367288378764,0.02557302519416556,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0.10873141148511045,0.2796023607848396,59.852,-4.2719999999999985
2020-01-01 06:00:00,396.5,530.75,212.77499999999998,17.77,251.1,31.65,9.45,4.4,71.05,7.65,,6.72,97.48,0.3,69.75,0.0,9.05,986.9,0.08312478072740032,0.03034510115033717,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.28145740077674525,-0.1038351171232479,59.14000000000001,11.90999999999999
2020-01-01 07:00:00,420.0,605.25,208.73749999999998,32.05,,46.5,14.12,4.97,56.1,8.5,,6.8,97.45,0.3,163.25,0.0,163.9,986.9,0.15281006019429047,,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.08645888044022672,0.28727140824144437,60.84142857142857,-4.741428571428571
2020-01-01 08:00:00,447.25,683.75,204.7,77.05,252.52,83.2,10.38,4.3,63.25,9.02,,7.6,93.9,0.3,144.5,0.0,417.45,986.9,0.37457462323772484,0.03557904701798675,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.17421088671328197,0.24423465550689571,60.24875,3.001249999999999
2020-01-01 09:00:00,420.25,596.5,78.2,80.38,106.48,80.92,6.78,2.8,66.9,8.02,,9.02,71.32,0.78,88.25,0.0,446.32,986.9,1.0148989898989897,0.07461853368068477,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.7796362008526361,-0.023820040303661798,60.58222222222222,6.317777777777785
2020-01-01 10:00:00,338.75,483.5,26.75,74.15,61.28,62.7,10.5,,63.62,5.48,,10.22,60.1,1.72,81.75,0.0,455.15,986.9,2.6720720720720723,0.08798972382787412,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-1.7022003853298329,-0.24680730982482837,61.214,2.405999999999999
2020-01-01 11:00:00,247.5,343.25,13.8,58.85,42.55,63.4,11.52,,61.92,5.4,,10.98,57.38,2.3,75.0,0.0,458.58,986.9,3.9763513513513513,0.12399540757749715,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,-2.221629400464857,-0.5952838037357977,61.43272727272727,0.48727272727273174
2020-01-01 12:00:00,187.75,283.25,9.12,44.58,31.1,61.22,8.18,,60.58,4.2,,11.45,56.12,2.3,83.75,0.0,455.33,986.9,4.405138339920949,0.1308411214953271,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-2.286329577911335,-0.2503938121595189,61.473333333333336,-0.893333333333338
2020-01-01 13:00:00,143.75,211.0,8.7,45.6,31.4,57.5,6.55,,61.28,2.48,,11.8,55.05,2.3,85.75,0.0,444.8,986.9,4.701030927835052,0.07654320987654321,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,-2.293675425728817,-0.17044952744941796,61.40461538461538,-0.12461538461538169
2020-01-01 14:00:00,133.0,195.5,17.35,58.78,45.4,55.32,15.62,,61.1,1.85,474.25,11.78,56.18,1.9,82.0,0.0,422.22,986.9,3.2032697547683924,10.260775862068966,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-1.8815093306089834,-0.26442889182412477,61.395714285714284,-0.2957142857142827
2020-01-01 15:00:00,131.0,201.25,16.2,60.2,45.25,58.0,11.62,,58.95,1.42,427.7,11.68,56.18,2.25,72.5,0.0,395.08,986.9,3.5000000000000004,9.278270270270271,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,-2.1458631391835103,-0.6765880488846149,61.376,-2.425999999999995
