Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),NO2_NO_ratio,VOC_NOx_ratio,hour_sin,hour_cos,month_sin,month_cos,Wind_U,Wind_V,Ozone_Baseline,Ozone_Anomaly
2020-01-01 00:00:00,789.0,864.0,341.85,111.82,338.2,74.95,16.75,5.8,8.38,,371.98,8.12,87.52,0.3,191.0,0.0,8.15,772.59,0.0005323754776113214,0.3261484614262797,1.0966391509433964,0.0,1.0,0.49999999999999994,0.8660254037844387,0.05724269861296341,0.2944881550342992,8.38,0.0
2020-01-01 01:00:00,637.75,818.5,223.58,97.12,233.95,70.85,12.32,3.65,7.5,,231.6,7.8,89.6,0.3,201.0,0.0,8.25,789.71,0.0005270216792967743,0.43245168759462105,0.9857416471589701,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.10751038486359013,0.28007412794916053,8.38,-0.8800000000000008
2020-01-01 02:00:00,513.75,649.0,199.85,100.35,215.45,47.85,5.6,2.7,7.55,,164.88,7.4,90.0,0.3,195.0,0.0,8.2,807.66,-4.161281643022947e-05,0.4996265870052278,0.7617463617463618,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.0776457135307561,0.2897777478867205,7.94,-0.39000000000000057
2020-01-01 03:00:00,410.25,529.75,182.02,95.9,199.4,55.6,4.38,2.78,7.6,,139.78,7.0,90.1,0.3,194.5,0.0,8.15,793.41,-0.0006684747329274762,0.5239864495683532,0.69750499001996,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.07511400121633247,0.2904442921134323,7.81,-0.20999999999999996
2020-01-01 04:00:00,357.75,453.5,147.3,88.75,167.3,56.68,3.05,2.02,6.93,12.45,104.1,6.65,90.1,0.3,200.5,0.0,8.15,775.22,-0.0010546004127030845,0.5984490896830748,0.6925133689839571,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.10506221437784018,0.28100165677451927,7.7575,-0.8275000000000006
2020-01-01 05:00:00,318.25,411.0,156.93,84.52,172.92,57.32,1.6,2.62,7.32,9.95,83.95,6.5,90.15,0.3,201.75,0.0,8.22,777.28,-0.0016427214323100079,0.5351738111821692,0.5399034038638455,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0.11116723125295093,0.2786428658615772,7.5920000000000005,-0.27200000000000024
2020-01-01 06:00:00,351.75,457.0,204.62,92.95,216.25,64.4,4.15,3.28,7.8,12.05,90.28,6.38,90.2,0.3,187.75,0.0,8.2,779.62,-0.00027706673073941854,0.45204746619978603,0.47102416570771,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.04045527908211674,0.2972597692160647,7.546666666666667,0.25333333333333297
2020-01-01 07:00:00,448.75,578.0,217.7,99.22,230.28,69.58,6.88,2.98,9.85,12.4,103.0,6.48,90.18,0.3,196.25,0.0,17.95,766.33,0.00046373154997199367,0.45368084133516234,0.49896229678312004,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.0839487042092976,0.2880149563157786,7.582857142857143,2.267142857142857
2020-01-01 08:00:00,550.0,686.75,247.98,125.65,269.0,76.35,3.58,3.12,15.12,14.65,111.9,8.2,88.8,0.3,174.25,0.0,49.95,751.76,0.0034973145638999685,0.5046590087557234,0.46870370370370373,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.030056418483622782,0.2984905554752735,7.86625,7.253749999999999
2020-01-01 09:00:00,564.5,753.25,117.93,143.55,172.52,59.85,0.72,2.05,10.95,14.7,99.02,11.88,70.72,0.38,137.75,0.0,95.22,735.0,0.0068441245609954515,1.2070125283780375,0.6553711387736284,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.255499386825174,0.2812828884449961,8.672222222222222,2.277777777777777
