Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),TOT-RF (mm),NO2_NO_ratio,VOC_NOx_ratio,hour_sin,hour_cos,month_sin,month_cos,Ozone_Baseline,Ozone_Anomaly
2020-01-01 00:00:00,491.62,709.63,69.07,54.25,123.34,4.02,10.47,0.0,0.0,0.0,0.0,0.7742257742257743,0.0,0.0,1.0,0.49999999999999994,0.8660254037844387,10.47,0.0
2020-01-01 01:00:00,434.85,619.52,50.99,45.26,96.22,3.09,8.52,0.0,0.0,0.0,0.0,0.8705520292363915,0.0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,10.47,-1.950000000000001
2020-01-01 02:00:00,347.43,533.26,37.22,37.89,75.08,3.07,8.07,0.0,0.0,0.0,0.0,0.9913657770800628,0.0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,9.495000000000001,-1.4250000000000007
2020-01-01 03:00:00,,,36.2475,37.6175,,,7.986562500000001,,,,0.0,1.009933552587422,,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,9.020000000000001,-1.0334375000000007
2020-01-01 04:00:00,,,35.275,37.345,,,7.903125,,,,0.0,1.0294968986905582,,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,8.761640625,-0.8585156249999999
2020-01-01 05:00:00,,,34.3025,24.59858948125005,,,17.3821589601236,,,,0.0,0.6967945465972678,,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,8.589937500000001,8.7922214601236
2020-01-01 06:00:00,,,33.33,25.16074575110833,,,16.861291993364016,,,,0.0,0.7329084110430624,,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,10.055307743353934,6.8059842500100824
2020-01-01 07:00:00,,,32.3575,26.59170025956424,,,16.94839831152881,,,,0.0,0.7971730573203699,,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,11.02759120764109,5.92080710388772
2020-01-01 08:00:00,,,31.384999999999998,29.21615070357072,,,19.67205818640606,,,,0.0,0.9021507087716758,,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,11.767692095627053,7.904366090779005
2020-01-01 09:00:00,,,30.4125,31.099333944901254,,,24.38132072849279,,,,0.0,0.990030527493872,,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,12.645954994602498,11.73536573389029
