Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),NO2_NO_ratio,VOC_NOx_ratio,hour_sin,hour_cos,month_sin,month_cos,Wind_U,Wind_V,Ozone_Baseline,Ozone_Anomaly
2020-01-01 21:00:00,425.0,764.5,264.03,79.3,257.25,65.08,9.43,3.15,2.17,,451.42,8.35,95.2,0.12,226.72,0.0,0.0,272.77,998.88,0.2992114100290533,1.747996127783156,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,0.08736145308965772,0.08226771246402523,23.56380952380952,-21.393809523809523
2020-01-01 22:00:00,475.25,824.0,281.48,73.53,267.95,67.22,9.62,3.82,2.65,14.1,317.73,8.1,95.2,0.3,94.05,0.0,0.0,279.65,998.75,0.2603016142735769,1.2337981037367542,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,-0.299250838924881,0.02118809577935,22.591363636363635,-19.941363636363636
2020-01-01 23:00:00,529.0,854.0,244.7,60.98,231.75,72.2,9.9,3.88,3.02,16.1,265.75,7.55,95.2,0.25,114.1,0.0,0.0,287.12,998.53,0.24818884818884818,1.2109559613319012,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,-0.22820854430826074,0.10208261509534616,21.72434782608696,-18.70434782608696
2020-01-02 00:00:00,490.5,742.0,210.52,55.75,200.8,60.52,10.38,3.47,3.5,14.12,212.23,7.05,95.2,0.25,142.1,0.0,0.0,295.65,998.18,0.2635684568835098,1.121655104063429,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.15357130002473585,0.19727102120867263,20.945,-17.445
2020-01-02 01:00:00,427.25,628.25,162.05,47.55,157.57,60.72,9.68,3.12,3.68,13.0,191.75,6.7,95.2,0.1,185.05,0.0,0.0,296.65,997.88,0.2916283348666053,1.2912278488995397,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.008802505332450366,0.09961182610449516,20.2472,-16.5672
2020-01-02 02:00:00,382.0,552.0,132.8,40.97,130.12,59.0,9.45,2.7,3.35,11.6,126.62,6.2,95.2,0.35,270.08,0.0,0.0,299.92,997.53,0.306203288490284,1.0541488712629652,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.3499996588285453,-0.0004886920317699019,19.61,-16.259999999999998
2020-01-02 03:00:00,333.5,470.75,127.82,38.02,124.42,53.88,9.57,2.38,2.42,10.45,92.1,6.02,95.2,0.43,281.12,0.0,0.0,299.2,997.2,0.29514050613258813,0.8176526869717748,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.421926922587327,-0.08293173093567838,19.00777777777778,-16.58777777777778
2020-01-02 04:00:00,300.5,425.0,130.12,35.62,125.1,49.32,9.85,2.02,2.5,9.07,97.0,5.78,95.2,0.35,276.7,0.0,0.0,300.12,997.12,0.27165954850518603,0.841157811260904,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.3476097273384701,-0.04083475798476648,18.415357142857143,-15.915357142857143
2020-01-02 05:00:00,280.75,395.5,141.35,41.08,137.68,46.7,9.9,1.9,1.93,11.72,98.02,5.88,95.2,0.62,242.42,0.0,0.0,299.9,997.28,0.28858447488584477,0.7913181424862993,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0.5495464525583202,0.28705173136660556,17.86655172413793,-15.936551724137932
2020-01-02 06:00:00,258.0,389.5,265.9,42.52,239.02,49.32,9.32,2.0,1.83,9.28,123.12,6.28,95.2,0.35,104.35,0.0,0.0,298.77,997.97,0.15931060322218063,0.5516206982751437,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.33907993530577313,0.08674559051059991,17.33533333333333,-15.505333333333331
