Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,363.12,459.14,75.31,13.24,67.79,39.14,21.39,6.75,8.54,12.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-02 00:00:00,260.94,325.94,41.36,12.76,40.42,30.58,20.41,4.45,6.77,7.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-03 00:00:00,117.07,144.22,34.11,11.25,33.72,28.00,12.43,3.13,6.04,3.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-04 00:00:00,80.38,109.95,35.45,14.40,36.48,31.62,11.05,3.00,6.78,4.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-05 00:00:00,60.66,83.23,38.51,13.28,38.37,35.92,11.22,2.75,6.33,4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-06 00:00:00,102.86,143.35,44.25,13.21,43.00,43.01,12.04,2.48,6.22,4.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-07 00:00:00,78.06,127.15,29.55,15.15,32.07,34.02,7.10,1.65,7.70,3.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-08 00:00:00,104.67,185.61,33.66,13.45,34.52,29.59,9.71,1.59,7.37,4.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-09 00:00:00,123.24,172.59,28.01,13.37,29.87,24.99,15.52,0.97,8.09,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-10 00:00:00,90.52,135.94,23.61,13.61,26.44,21.27,4.97,0.57,14.09,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-11 00:00:00,100.01,144.54,23.09,14.73,26.61,21.73,3.89,0.98,12.71,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-12 00:00:00,149.80,212.45,32.78,15.25,34.76,27.58,7.19,1.00,12.43,6.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-13 00:00:00,191.36,286.62,45.27,14.15,44.32,30.11,10.17,1.47,16.26,8.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-14 00:00:00,326.26,431.97,73.37,15.06,67.67,41.55,20.52,3.36,6.77,12.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-15 00:00:00,357.70,467.50,73.00,15.21,67.44,40.81,20.45,3.81,7.09,11.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-16 00:00:00,280.92,379.79,37.66,16.11,39.18,30.90,10.64,1.25,10.11,13.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-17 00:00:00,239.34,285.68,25.96,14.44,28.78,25.62,8.87,0.34,7.25,7.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-18 00:00:00,247.92,330.95,42.45,13.35,41.62,31.71,16.75,5.15,6.88,6.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-19 00:00:00,304.86,385.86,47.04,12.91,45.11,32.96,12.69,3.05,8.55,12.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-20 00:00:00,173.32,221.57,21.75,13.64,24.93,20.73,6.94,1.28,11.89,6.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-21 00:00:00,239.18,285.13,28.56,13.56,30.43,23.44,10.39,1.72,19.13,4.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-22 00:00:00,528.88,590.59,62.37,9.83,55.94,46.42,15.31,3.36,6.23,9.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-23 00:00:00,434.26,460.87,25.00,10.80,26.07,19.98,12.22,1.48,8.08,5.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-24 00:00:00,615.48,665.79,28.47,10.06,28.50,21.48,9.63,1.15,6.26,4.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-25 00:00:00,366.27,416.57,28.55,12.83,30.03,20.81,8.35,1.43,12.41,5.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-26 00:00:00,182.26,263.00,31.70,12.51,32.43,25.14,11.75,1.82,19.55,8.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-27 00:00:00,194.12,286.78,30.65,15.83,33.34,24.67,13.23,2.04,17.51,7.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-28 00:00:00,296.91,404.86,61.38,20.32,60.72,38.18,21.39,3.81,11.79,10.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-29 00:00:00,235.04,336.40,49.49,17.23,49.41,34.00,16.15,2.53,14.26,9.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
