PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Leighton_ratio,VOC_NOx_ratio,O3_lag1,NOx_lag1
97.65,123.37,46.52,16.85,46.74,30.75,9.73,1.38,7.44,0.41,19.3898487394958,0.0085881860075408,4.2,48.75
127.97,172.36,52.47,19.52,52.92,34.56,10.74,1.57,11.06,0.45,28.280614035087723,0.0083456973293768,7.44,46.74
119.67,152.44,31.18,15.97,33.81,23.33,7.48,1.06,17.73,0.37,32.576393635827934,0.0106291295604711,11.06,52.92
145.41,196.61,46.95,15.99,46.58,29.84,9.06,1.77,13.24,0.62,36.587286639199526,0.0130306851618327,17.73,33.81
191.91,266.73,82.24,17.91,75.55,48.47,14.05,2.6,7.37,0.84,32.05228979375991,0.0109732201175702,13.24,46.58
213.27,283.7,58.7,20.37,58.43,40.04,12.08,2.18,9.06,0.57,24.886382779597565,0.0095911155981827,7.37,75.55
72.43,108.63,33.88,18.43,37.34,25.35,10.33,0.85,22.81,0.25,39.77369016984046,0.0065206051121544,9.06,58.43
92.35,132.84,41.65,20.24,44.6,28.94,14.59,1.12,24.93,0.24,48.88580508474576,0.0052631578947368,22.81,37.34
137.99,196.07,68.1,23.84,68.02,42.58,16.01,1.95,17.69,0.23,48.49794685990339,0.0033323674297305,24.93,44.6
162.27,228.25,94.32,17.18,85.75,53.92,17.28,2.68,17.56,0.26,91.10336633663366,0.0029971181556195,17.69,68.02
173.18,261.59,101.03,27.14,96.44,60.75,23.87,3.01,7.32,0.22,26.2807249466951,0.0022577996715927,17.56,85.75
101.49,161.69,56.57,22.7,57.9,38.13,13.04,1.55,7.88,0.21,18.808928270042195,0.0035653650254668,7.32,96.44
73.73,135.24,54.23,20.23,54.75,36.11,10.81,1.36,14.24,0.21,36.37471502590673,0.0037668161434977,7.88,57.9
82.59,134.63,44.69,22.04,47.88,31.48,9.8,1.13,15.46,0.39,29.987300347222227,0.0079787234042553,14.24,54.75
89.68,129.96,49.91,22.47,52.47,34.05,10.64,1.4,15.25,0.52,32.429804005112906,0.0097250794838227,15.46,47.88
98.45,144.96,65.04,20.96,63.89,40.92,11.13,1.66,16.29,0.65,48.24688524590164,0.0100169517645245,15.25,52.47
115.58,158.64,52.79,23.23,55.23,35.41,11.39,1.57,17.25,0.6,37.582645480808914,0.0106704606082162,16.29,63.89
130.31,192.2,85.7,24.33,82.64,50.92,13.86,2.53,17.99,1.2,60.86628503750494,0.0143472022955523,17.25,55.23
194.65,282.92,130.42,30.75,122.08,74.89,25.13,3.74,14.0,2.21,57.50803149606299,0.0179558011049723,17.99,82.64
138.64,191.83,59.11,23.61,60.58,38.22,18.34,1.65,15.81,0.58,37.97355140186916,0.0094186424163689,14.0,122.08
116.53,153.26,54.34,24.43,57.14,36.05,13.57,1.73,15.81,0.44,33.783539127015345,0.0075679394564843,15.81,60.58
152.98,206.73,79.23,24.23,77.16,48.27,21.26,2.15,15.81,0.62,49.648287752675394,0.0079324462640736,15.81,57.14
